Date,Last Price,High Price,Low Price,Open Price
8/31/2026,767.05,767.995,764.715,767.33
8/28/2026,769.35,775.3,768.3076,771.76
8/27/2026,771.1,772.355,767.16,768.5
8/26/2026,766.08,767.35,763.93,764.73
8/25/2026,765.91,766.78,763.0501,766.16
8/24/2026,763.47,765.22,762.08,764.78
8/21/2026,765.72,767.85,764.17,766.05
8/20/2026,762.6,768.15,762.04,765.96
8/19/2026,769.06,772.47,768.1,770.36
8/18/2026,767.45,769.5,766.92,768.7
8/17/2026,772.67,776.775,772.51,776.18
8/14/2026,776.34,778.8,775.4301,778.54
8/13/2026,777.88,779.37,774.111,774.87
8/12/2026,772.49,774.9,771.28,774.71
8/11/2026,770.56,774.61,769.2,774.53
8/10/2026,773.03,775.05,771.62,772.6
8/7/2026,773.26,773.915,769.61,771.02
8/6/2026,768.56,771.82,767.46,770.21
8/5/2026,769.79,776.85,769.51,775.85
8/4/2026,771.33,773.41,760.52,760.63
8/3/2026,757.67,758.58,748.8,749.44
7/31/2026,747.03,748.895,737.68,744.68
7/30/2026,741.69,742.45,734.59,736.05
7/29/2026,729.46,742.68,729.1,739.97
7/28/2026,740.86,742.7901,735.98,739.19
7/27/2026,739.09,745.53,735.87,744.91
7/24/2026,738.93,743.72,737.29,738.51
7/23/2026,738.18,742.56,735.21,739.37
7/22/2026,747.41,750.02,746.37,746.62
7/21/2026,748.28,749.04,744.18,746.29
7/20/2026,742.09,748.73,741.5103,747.06
7/17/2026,743.29,747.29,740.8,742.08
7/16/2026,750.72,754.57,747.88,752.76
7/15/2026,754.81,755.58,750.2,754.24
7/14/2026,751.83,753.34,748.66,750.91
7/13/2026,749.17,753.9105,748,752.47
7/10/2026,754.95,755.42,748.1,752.05
7/9/2026,751.71,751.97,745.59,747.35
7/8/2026,745.4,746.15,739.51,743.16
7/7/2026,747.71,750.96,745.21,750.22
7/6/2026,751.28,752.41,747.41,748.74
7/2/2026,744.78,751.31,740.03,747.4
7/1/2026,745.76,749.435,742.375,745
6/30/2026,746.77,748.02,740.89,741.29
6/29/2026,741,741.56,732.09,736.525
6/26/2026,728.99,736.53,716.58,728.945
6/25/2026,734.3,739.37,729.6,738.91
6/24/2026,733.24,739.945,730.84,735.17
6/23/2026,733.58,739.63,732.3,733.81
6/22/2026,744.39,750.18,743.13,747.7
6/18/2026,746.74,748.23,743.86,747.76
6/17/2026,740.96,752.15,739.22,751.29
6/16/2026,750.33,755.44,749.88,754.55
6/15/2026,754.83,756.68,751.76,751.85
6/12/2026,741.75,744.44,735.03,740.71
6/11/2026,737.76,740,724.405,728.76
6/10/2026,725.43,738.38,725.33,733.39
6/9/2026,737.05,746.9,722.59,743.63
6/8/2026,739.22,745.34,738.19,743.36
6/5/2026,737.55,752.82,735.525,752.31
6/4/2026,757.09,758.31,751.47,752.1
6/3/2026,754.24,758.8,753.57,758.15
6/2/2026,759.57,760.4,756.75,757.03
6/1/2026,758.54,760.28,754.69,755.36
5/29/2026,756.48,758.08,754.69,755.9
5/28/2026,754.6,755.15,749.23,750.25
5/27/2026,750.46,751.38,748.22,750.88
5/26/2026,750.59,752.13,748.37,750.01
5/22/2026,745.64,748.94,744.48,746.24
5/21/2026,742.72,744.87,737.03,738.64
5/20/2026,741.25,741.87,733.89,735.71
5/19/2026,733.73,737.65,731.53,734.78
5/18/2026,738.65,741.415,733.39,739.83
5/15/2026,739.17,743.46,737.96,741.79
5/14/2026,748.17,749.53,743.56,743.65
5/13/2026,742.31,743.91,735.47,738.47
5/12/2026,738.18,738.84,731.83,736.89
5/11/2026,739.3,740.79,736.45,736.45
5/8/2026,737.62,738.08,734.57,734.93
5/7/2026,731.58,736.13,729.75,735.05
5/6/2026,733.83,734.59,727.82,728.16
5/5/2026,723.77,725.04,721.4898,721.77
5/4/2026,718.01,722.12,714.99,720.07
5/1/2026,720.65,724.87,720.47,721.25
4/30/2026,718.66,719.79,710.445,714.63
4/29/2026,711.58,712.2,708.37,711
4/28/2026,711.69,712.88,709.25,711.815
4/27/2026,715.17,715.63,712.295,713.17
4/24/2026,713.94,714.47,709.01,710.75
4/23/2026,708.45,712.3598,702.2803,709.5
